旅,たび,"
画像,がぞう,"
frame; framework
border; box
limit; restriction; quota
category; bracket; class
time slot (in a broadcasting schedule)
live stream; live (online) broadcast
spool (of thread); reel
Structural system
框 【わく】"
画,かく,"
negative (of a picture)
原板 【げんばん】"
固定,こてい,"
uniformity; equality
均一 【きんいち】"
浮かび上がる,うあ,"
to consist of; to be made up of; to be composed of
to be concluded (e.g. of an agreement); to hold true (e.g. of a theory); to be valid
to be viable (of a business, lifestyle, etc.); to carry on; to keep going
成立つ 【なりたつ】"
外す,はず,"
each (every) time; whenever"
暗所,あんしょ,"
exposure; sensitization; sensitisation"
うっかり,,"
polishing powder"
作業,さぎょう,"
to cover; to hide; to conceal; to wrap; to disguise"
取り付ける,とつ,"
to be open (to traffic); to lead to; to communicate (with)
to flow (liquid, current); to pass; to get through to
to be understood; to be comprehended
to be honored; to be good
to be well versed in; to be well-informed
to communicate clandestinely; to keep in touch (e.g. with the enemy)
to form a liaison; to be intimate
to spread widely; to disseminate"
露光,ろこう,"
to dribble; to spill
to suspend; to hang down; to slouch; to dangle"
枠,わく,"
agitation; stirring; whipping; beating"
原板,げんぱん,"
to wave; to shake; to swing
to sprinkle; to throw (dice)
to cast (actor); to allocate (work)
to turn down (someone); to reject; to jilt; to dump
to abandon; to give up; to ruin
to add kana indicating a reading of a word
to slightly change headings; to change directions
to extract by broiling; to prepare an infusion of; to decoct
to carry with great vigor (e.g. a portable shrine)
to bring up a topic; to lead to a topic
to replace; to substitute
to set up a joke for someone else"
均一,きんいつ,"
small quantity; small amount
narrowmindedness
小量 【しょうりょう】"
成り立つ,なた,"
to dissolve
to melt"
都度,つど,"
solution (liquid)
Solution"
感光,かんこう,"
(photographic) fixing solution"
磨き粉,みがこ,"
to add; to add up; to sum up; to append; to annex
to increase; to gather (e.g. speed); to pick up
to include; to count in; to let join
to inflict (damage); to deal; to give"
覆う,おお,"
prescription; formulation; formula; recipe"
通じる,つう,"
mixing; compounding; dispensing (e.g. prescription)"
垂らす,た,"
developing solution
Photographic developer"
攪拌,かくはん,"
to mix; to stir; to blend"
ヨウ化カリウム,か,"
explosion; detonation; eruption
eruption (of discontent, etc.); outburst; outpouring
Explosion"
振る,ふ,"
subordinate work; assistant
domestic duties; servant; maid; houseboy"
少量,しょうりょう,"
poison"
溶かす,と,"
silver nitrate; AgNO3"
溶液,ようえき,"
glaze; overglaze; enamel
Ceramic glaze"
定着液,ていちゃくえき,"
loss of eyesight; loss of sight; going blind; blindness
Blindness"
加える,くわ,"
workshop; studio; atelier"
